ACCNTNUM,LOCNUM,LOCNAME,ADDRESSNUM,STREETNAME,DISTRICT,DSTRCTCODE,CITY,CITYCODE,STATE,STATECODE,POSTALCODE,COUNTY,COUNTYCODE,CRESTA,Latitude,Longitude,FLOORAREA,AREAUNIT,CNTRYSCHEME,CNTRYCODE,NUMBLDGS,BLDGSCHEME,BLDGCLASS,OCCSCHEME,OCCTYPE,YEARBUILT,NUMSTORIES,WSCV4VAL,WSCV4VCUR,WSCV5VAL,WSCV5VCUR,WSCV6VAL,WSCV6VCUR,WSCV7VAL,WSCV7VCUR,WSCV4LIMIT,WSCV4LCUR,WSCV5LIMIT,WSCV5LCUR,WSCV6LIMIT,WSCV6LCUR,WSCV7LIMIT,WSCV7LCUR,WSCV4DED,WSCV4DCUR,WSCV5DED,WSCV5DCUR,WSCV6DED,WSCV6DCUR,WSCV7DED,WSCV7DCUR,WSSITELIM,WSSITELCUR,WSSITEDED,WSSITEDCUR,WSCOMBINEDLIM,WSCOMBINEDLCUR,WSCOMBINEDDED,WSCOMBINEDDCUR,RESISTOPEN,ROOFAGE,ROOFANCH,ROOFSYS,CLADRATE,ROOFGEOM,CLADSYS,USERTXT1,USERTXT2,USERID1,USERID2,PRIMARYBLDG
2MR 0287395_24_1,2MR 0287395_24_1,2MR 0287395 04,,4 -1-33 FORTUNA,,,KANSAS CITY,,,,00802,ST THOMAS,030,,.00000000,.00000000,0,2,ISO3A,VIR,1,RMS,3,ATC,2,12/31/9999,0,350615,USD,35061,USD,0,USD,0,USD,350615,USD,35061,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,17531,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,LP,,,
2MR 3069809_24_1,2MR 3069809_24_1,2MR 3069809 01,,178 GOLDEN ROCK,,,CHRISTIANSTED,,,,00820,ST CROIX,010,,.00000000,.00000000,0,2,ISO3A,VIR,1,RMS,3,ATC,1,12/31/9999,0,120840,USD,12084,USD,0,USD,0,USD,120840,USD,12084,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,6042,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,LP,,,
BRE 0001011_37_1,BRE 0001011_37_1,BRE 0001011 00,,32-I ESTATE LA GRANDE PRI,,,CHRISTIANSTED,,,,00820,ST CROIX,010,,.00000000,.00000000,0,2,ISO3A,VIR,1,RMS,3,ATC,1,12/31/9999,0,124048,USD,12405,USD,0,USD,0,USD,124048,USD,12405,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,2480,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,27,,,
BRE 0001029_37_11,BRE 0001029_37_11,BRE 0001029 00,,#59 1ST STREET JARDINES DE TOA,,,TOA ALTA,,,,00953,TOA ALTA,135,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,128000,USD,12800,USD,0,USD,0,USD,128000,USD,12800,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,2560,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,27,,,
ALR 9074038_24_1,ALR 9074038_24_1,ALR 9074038 07,,BO SABANA LLANA 92 CALL SALINAS  PR,,,SALINAS,,,,00751,SALINAS,123,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,90592,USD,9059,USD,0,USD,0,USD,90592,USD,9059,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,1000,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
ALR 9076974_24_1,ALR 9076974_24_1,ALR 9076974 06,,URB OREILLY 65 CALLE 1 GURABO  PR,,,GURABO,,,,00778,GURABO,063,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,73212,USD,7321,USD,0,USD,0,USD,73212,USD,7321,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,1000,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
ALR 9088289_24_1,ALR 9088289_24_1,ALR 9088289 06,,F D4 LEVITTOWN C R MAR TOA BAJA  PR,,,TOA BAJA,,,,00949,TOA BAJA,137,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,135905,USD,13590,USD,0,USD,0,USD,135905,USD,13590,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,2000,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
ALR 9092750_24_1,ALR 9092750_24_1,ALR 9092750 06,,URB  VISTAS DEL CAFE YAUCO  PR,,,YAUCO,,,,00698,YAUCO,153,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,154349,USD,15434,USD,0,USD,0,USD,154349,USD,15434,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,2000,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
ALR 9093538_24_1,ALR 9093538_24_1,ALR 9093538 06,,RD 851 KM 1 8 REPTO TRUJILLO ALTO  PR,,,TRUJILLO ALTO,,,,00976,TRUJILLO ALTO,139,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,222129,USD,22212,USD,0,USD,0,USD,222129,USD,22212,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,2000,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
ALR 9093639_24_1,ALR 9093639_24_1,ALR 9093639 06,,BO CENDELERO ARRIBACARR HUMACAO  PR,,,HUMACAO,,,,00791,HUMACAO,069,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,2,12/31/9999,0,110597,USD,11059,USD,0,USD,0,USD,110597,USD,11059,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,2000,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
ALR 9093651_24_1,ALR 9093651_24_1,ALR 9093651 06,,B38 2ST STA MONICA BAYAMON  PR,,,BAYAMON,,,,00957,BAYAMON,021,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,219113,USD,21911,USD,0,USD,0,USD,219113,USD,21911,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,2000,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
ALR 9100524_24_1,ALR 9100524_24_1,ALR 9100524 06,,LA MORENITA 233 CALLE 6 BAYAMON  PR,,,BAYAMON,,,,00956,BAYAMON,021,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,107255,USD,10725,USD,0,USD,0,USD,107255,USD,10725,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,2000,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
ALR 9102918_24_1,ALR 9102918_24_1,ALR 9102918 06,,BORINQ CALLE SOLINA CAGUAS  PR,,,CAGUAS,,,,00725,CAGUAS,025,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,76002,USD,7600,USD,0,USD,0,USD,76002,USD,7600,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,1000,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
ALR 9102934_24_1,ALR 9102934_24_1,ALR 9102934 06,,CALLE ACUEDUCTO 5 LARES  PR,,,LARES,,,,00669,LARES,081,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,123424,USD,12342,USD,0,USD,0,USD,123424,USD,12342,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,2000,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
ALR 9102941_24_1,ALR 9102941_24_1,ALR 9102941 06,,BO SUMIDERO LAS CORUJAS AGUAS BUENAS  PR,,,AGUAS BUENAS,,,,00703,AGUAS BUENAS,007,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,97124,USD,9712,USD,0,USD,0,USD,97124,USD,9712,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,1000,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
ALR 9102959_24_1,ALR 9102959_24_1,ALR 9102959 06,,SANTA JUANITA14A CALLE 4 CAGUAS  PR,,,CAGUAS,,,,00725,CAGUAS,025,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,128330,USD,12833,USD,0,USD,0,USD,128330,USD,12833,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,2000,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
ALR 9109886_24_1,ALR 9109886_24_1,ALR 9109886 06,,SR 667 LOT# 461 CORTES MANATI  PR,,,MANATI,,,,00674,MANATI,091,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,87986,USD,8798,USD,0,USD,0,USD,87986,USD,8798,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,1000,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
2AR 3187483_24_1,2AR 3187483_24_1,2AR 3187483 00,,CALLE PUNTA LAS MARI CATANO  PR,,,CATANO,,,,00962,CATANO,033,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,265449,USD,26544,USD,0,USD,0,USD,265449,USD,26544,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,2500,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
2AR 3188068_24_1,2AR 3188068_24_1,2AR 3188068 00,,SR 722 KM 1 8 ROBLES (SIERRA) AIBONITO  PR,,,AIBONITO,,,,00705,AIBONITO,009,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,170000,USD,17000,USD,0,USD,0,USD,170000,USD,17000,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,2000,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
2AR 3188089_24_1,2AR 3188089_24_1,2AR 3188089 00,,LOT 140 7 ST  PASTO COMM  PAST AIBONITO  PR,,,AIBONITO,,,,00705,AIBONITO,009,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,108000,USD,10800,USD,0,USD,0,USD,108000,USD,10800,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,2000,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
2AR 3188092_24_1,2AR 3188092_24_1,2AR 3188092 00,,LOT 129 6TH ST LAS CALDERONAS CEIBA  PR,,,CEIBA,,,,00735,CEIBA,037,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,89000,USD,8900,USD,0,USD,0,USD,89000,USD,8900,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,1000,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
2AR 3189643_24_1,2AR 3189643_24_1,2AR 3189643 00,,FAIR VIEW10E 5ST TRUJILLO ALTO  PR,,,SAN JUAN,,,,00926,SAN JUAN,127,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,163000,USD,16300,USD,0,USD,0,USD,163000,USD,16300,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,2000,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
2AR 3192030_24_1,2AR 3192030_24_1,2AR 3192030 00,,SR 619 CUCHILLAS WD MOROVIS  PR,,,MOROVIS,,,,00687,MOROVIS,101,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,96825,USD,9682,USD,0,USD,0,USD,96825,USD,9682,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,1000,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
2AR 3195762_24_1,2AR 3195762_24_1,2AR 3195762 01,,404 ROAD 21 KM DAGUEY WA ANASCO  PR,,,ANASCO,,,,00610,ANASCO,011,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,75110,USD,7511,USD,0,USD,0,USD,75110,USD,7511,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,1000,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
2AR 3196253_24_1,2AR 3196253_24_1,2AR 3196253 00,,E 9 BRISAS DEL VALLE NAGUABO  PR,,,NAGUABO,,,,00718,NAGUABO,103,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,82073,USD,8207,USD,0,USD,0,USD,82073,USD,8207,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,1000,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
2AR 3196542_24_1,2AR 3196542_24_1,2AR 3196542 00,,LOT 2 BO HATO ABAJO CARR ARECIBO  PR,,,ARECIBO,,,,00612,ARECIBO,013,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,80711,USD,8071,USD,0,USD,0,USD,80711,USD,8071,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,1000,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
2AR 3196651_24_1,2AR 3196651_24_1,2AR 3196651 00,,V10 OPALO ST VILLA B CAGUAS  PR,,,CAGUAS,,,,00725,CAGUAS,025,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,120000,USD,12000,USD,0,USD,0,USD,120000,USD,12000,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,2000,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
2AR 3196816_24_1,2AR 3196816_24_1,2AR 3196816 00,,KM 39 PR 643 INT PALMAR MANATI  PR,,,MANATI,,,,00674,MANATI,091,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,47340,USD,4734,USD,0,USD,0,USD,47340,USD,4734,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,1000,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
2AR 3197162_24_1,2AR 3197162_24_1,2AR 3197162 00,,COMM PASTO LOT 330 CALLE AIBONITO  PR,,,AIBONITO,,,,00705,AIBONITO,009,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,56673,USD,5667,USD,0,USD,0,USD,56673,USD,5667,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,1000,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
2AR 3199086_24_1,2AR 3199086_24_1,2AR 3199086 00,,CARR 149 KM2 HM 2 BO JAYU JAYUYA  PR,,,JAYUYA,,,,00664,JAYUYA,073,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,100000,USD,10000,USD,0,USD,0,USD,100000,USD,10000,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,2000,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
2AR 3199805_24_1,2AR 3199805_24_1,2AR 3199805 00,,45 (LOT 3) MARIA ORTIZ ISABELA  PR,,,ISABELA,,,,00662,ISABELA,071,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,91300,USD,9130,USD,0,USD,0,USD,91300,USD,9130,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,1000,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
2AR 3202009_24_1,2AR 3202009_24_1,2AR 3202009 00,,BO AIBONITO SR134 KM72 HATILLO  PR,,,HATILLO,,,,00659,HATILLO,065,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,76336,USD,7633,USD,0,USD,0,USD,76336,USD,7633,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,1000,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
2AR 3204046_24_1,2AR 3204046_24_1,2AR 3204046 00,,AND  BO PIEDRAS BLANCAS AGUADA  PR,,,AGUADA,,,,00602,AGUADA,003,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,251424,USD,25142,USD,0,USD,0,USD,251424,USD,25142,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,2500,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
2AR 3205947_24_1,2AR 3205947_24_1,2AR 3205947 00,,138 LAS FLORES SECTOR COAMO  PR,,,COAMO,,,,00769,COAMO,043,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,68035,USD,6803,USD,0,USD,0,USD,68035,USD,6803,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,1000,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
2AR 3206006_24_1,2AR 3206006_24_1,2AR 3206006 00,,206 FLAMBOYANES ST HYDE RIO PIEDRAS  PR,,,SAN JUAN,,,,00926,SAN JUAN,127,,18.40518400,-66.05952900,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,358000,USD,35800,USD,0,USD,0,USD,358000,USD,35800,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,2500,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
2AR 3214021_24_1,2AR 3214021_24_1,2AR 3214021 00,,SANTA ANA SABANA GRANDE  PR,,,SABANA GRANDE,,,,00637,SABANA GRANDE,121,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,64000,USD,6400,USD,0,USD,0,USD,64000,USD,6400,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,1000,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
2AR 3215311_24_1,2AR 3215311_24_1,2AR 3215311 00,,O26 CALLE P ARROYO  PR,,,ARROYO,,,,00714,ARROYO,015,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,80000,USD,8000,USD,0,USD,0,USD,80000,USD,8000,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,1000,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
2AR 3215800_24_1,2AR 3215800_24_1,2AR 3215800 00,,C-7 CRISANTEMOS ST E CAGUAS  PR,,,CAGUAS,,,,00727,CAGUAS,025,,18.25075100,-66.04460000,0,2,ISO3A,PRI,1,RMS,3,ATC,2,12/31/9999,0,277200,USD,27720,USD,0,USD,0,USD,277200,USD,27720,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,2500,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
2AR 3215815_24_1,2AR 3215815_24_1,2AR 3215815 00,,4 F URB ESTANCIAS DE MONTE GRANDE,,,CABO ROJO,,,,00623,CABO ROJO,023,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,69225,USD,6922,USD,0,USD,0,USD,69225,USD,6922,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,1000,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
2AR 3228573_24_1,2AR 3228573_24_1,2AR 3228573 00,,MN-1 403 ST COUNTRY CLUB CAROLINA  PR,,,CAROLINA,,,,00979,CAROLINA,031,,18.41589500,-66.00568600,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,230000,USD,23000,USD,0,USD,0,USD,230000,USD,23000,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,2000,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
2AR 3234516_24_1,2AR 3234516_24_1,2AR 3234516 00,,38 AS GUAJANA STASOMANT CAGUAS  PR,,,CAGUAS,,,,00727,CAGUAS,025,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,295000,USD,29500,USD,0,USD,0,USD,295000,USD,29500,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,2500,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
ALR 6856492_24_1,ALR 6856492_24_1,ALR 6856492 11,,BO CATANO63 CALLE AMPAR CATANO  PR,,,CATANO,,,,00962,CATANO,033,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,135808,USD,13580,USD,0,USD,0,USD,135808,USD,13580,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,2000,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
ALR 6866814_24_1,ALR 6866814_24_1,ALR 6866814 11,,B-8 COMUNIDAD VILLA FLAM CULEBRA  PR,,,CULEBRA,,,,00775,CULEBRA,049,,.00000000,.00000000,0,2,ISO3A,PRI,1,RMS,3,ATC,40,12/31/9999,0,331229,USD,33122,USD,0,USD,0,USD,331229,USD,33122,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,2500,USD,0,USD,0,USD,0,0,0,0,0,0,0,R,01,,,
